User,Campaign,crm_Campagne_Naam_in_email,Likelihood
01B45481-0877-E911-80FE-001DD8B72B62,8EE17CAC-CC0C-ED11-82E4-00224882E2E8,Film Fest Gent - Openingsfilm 'Close' met special guest Michiel Dhont,100
01B45481-0877-E911-80FE-001DD8B72B62,FAFBC509-F82C-ED11-9DB1-000D3A2279F0,Voka Politica in Eeklo met aansluitend bedrijfsbezoek bij Victor Buyck Steel Construction,100
01B45481-0877-E911-80FE-001DD8B72B62,994A7017-F783-EC11-8D21-6045BD8F7493,Voka op bezoek bij IVAGO op donderdag 19 mei,100
01B45481-0877-E911-80FE-001DD8B72B62,18AB6397-F5E0-E911-8106-001DD8B72B62,Welkom@Voka 21 april 2020,100
01B45481-0877-E911-80FE-001DD8B72B62,0728E9C1-0494-EA11-810F-001DD8B72B61,Voka Netwekkers - Fysiek én Digitaal - 8 juli 2020,100
01B45481-0877-E911-80FE-001DD8B72B62,9148491E-465D-EA11-810D-001DD8B72B61,OV-NW-Voka Update-AIO-Feb2020-Hoe stuur je een organisatie in een tijdperk van data & algoritmen?,100
01B45481-0877-E911-80FE-001DD8B72B62,A4658A7D-3629-E911-80FB-001DD8B72B62,Big Refresh - De grote najaarsupdate,100
01B45481-0877-E911-80FE-001DD8B72B62,B099F5E1-0B49-EC11-8C62-6045BD8D2834,Welkom@Voka op 22 februari 2022,100
01B45481-0877-E911-80FE-001DD8B72B62,2983FB52-C716-EC11-8126-001DD8B72B62,Ontbijtgesprek met Bart Wallays en Wim Adriaens over regio Dender,100
01B45481-0877-E911-80FE-001DD8B72B62,FC022BAB-B15E-EA11-810F-001DD8B72B62,OV-NW-Voka Update-AIO-Feb2020-Macro-economische vooruitzichten voor 2020,100
01B45481-0877-E911-80FE-001DD8B72B62,2A8107D9-F761-EA11-810F-001DD8B72B62,OV-NW-Voka Update-AIO-Feb2020-RPA: automatiseer administratieve taken met software robots,100
01B45481-0877-E911-80FE-001DD8B72B62,45408809-0BE4-ED11-A7C7-6045BD895FE4,Voka Politica in Zottegem,100
01B45481-0877-E911-80FE-001DD8B72B62,0F57AC8B-EFBA-EC11-983F-6045BD8C52BD,Voka Politica - Maldegem 9 juni 2022,100
01B45481-0877-E911-80FE-001DD8B72B62,63F86D01-6E5E-ED11-9561-6045BD895B5A,Voka te gast bij Bexco in Hamme,100
01B45481-0877-E911-80FE-001DD8B72B62,2D5C0A86-7CB1-EB11-811B-001DD8B72B61,#WelkomBijVoka op 29 juni 2021,100
01B45481-0877-E911-80FE-001DD8B72B62,9FFEF735-CCF0-ED11-8849-6045BD895D85,Voka Politica in Lebbeke,100
01B45481-0877-E911-80FE-001DD8B72B62,992CC4DE-B05E-EA11-810F-001DD8B72B62,OV-NW-Voka Update-AIO-Feb2020-Digitale Marketing als onderdeel van de bedrijfsstrategie,100
01B45481-0877-E911-80FE-001DD8B72B62,A8190EB8-97F7-EC11-BB3D-0022488401C6,Voka Visit - Taminco/eastman in de Gentse haven op donderdag 6 oktober,100
01B45481-0877-E911-80FE-001DD8B72B62,CFF2BA02-E99C-EB11-811E-001DD8B72B62,Voka Quick Refresh van 31 mei tot en met 4 juni,100
01B45481-0877-E911-80FE-001DD8B72B62,7B62B114-920B-EA11-8107-001DD8B72B61,Voka Netwekkers te gast bij O'Learys,100
01B45481-0877-E911-80FE-001DD8B72B62,0F7A008F-4CBA-EC11-983F-6045BD8C5B6B,Lunchmeeting met Banque de Luxembourg - vrijdag 13 mei,100
01B45481-0877-E911-80FE-001DD8B72B62,5BF7B3A4-3A77-EB11-811A-001DD8B72B61,OV-NW-AIO-MatchMaking-Voka XpertFinder1-Digitalisering-Maart2021,100
01B45481-0877-E911-80FE-001DD8B72B62,A8E9A12F-6D6F-EB11-811C-001DD8B72B62,Voka Netwekkers te gast bij Decola in Maldegem,100
01B45481-0877-E911-80FE-001DD8B72B62,F0BBA321-1336-EA11-810B-001DD8B72B62,Voka Netwekkers Gaat Digitaal,100
01B45481-0877-E911-80FE-001DD8B72B62,527D0CC6-858F-EA11-810F-001DD8B72B61,Voka Netwekkers Digitaal - 27 mei 2020,100
01B45481-0877-E911-80FE-001DD8B72B62,4F104A3B-E1B8-ED11-83FF-6045BD8956C9,Voka Politica in Dendermonde,100
01B45481-0877-E911-80FE-001DD8B72B62,FD27C35D-0990-ED11-AAD1-6045BD895BFB,Voka Politica in Aalter,100
01B45481-0877-E911-80FE-001DD8B72B62,8464067E-9DDA-EC11-BB3D-6045BD8B2E69,Ontbijtsessie kennismaking The Loop - Maandag 13 juni,100
01B45481-0877-E911-80FE-001DD8B72B62,78BED910-1EEB-EC11-BB3D-002248858672,OV-NW/IN-XpertFinder Logistiek - november 2022,100
01B45481-0877-E911-80FE-001DD8B72B62,E8411CE8-2B94-EA11-810F-001DD8B72B61,Lunchmeeting scale-ups vs Filip Watteeuw,100
01B45481-0877-E911-80FE-001DD8B72B62,A5B0BF58-09EC-E811-80F8-001DD8B72B61,Lunchmeeting Niko Demeester,100
01B45481-0877-E911-80FE-001DD8B72B62,9989BE5A-0B80-EB11-811A-001DD8B72B61,Lunchmeeting met Frank Beckx op 19 mei 2021,100
01B45481-0877-E911-80FE-001DD8B72B62,7D6C1F03-BEA9-EC11-983F-0022488489AB,OV-NW-Voka Politica Nazareth 2022,100
01B45481-0877-E911-80FE-001DD8B72B62,4048E0EB-80ED-E811-80FA-001DD8B72B62,Lunchmeeting Niko Demeester,100
01B45481-0877-E911-80FE-001DD8B72B62,482A887D-4C73-EA11-8110-001DD8B72B62,Welkom@Voka 13 oktober 2020,100
01B45481-0877-E911-80FE-001DD8B72B62,2E6B5330-2D16-EC11-8126-001DD8B72B62,Lunch voor HR-verantwoordelijken bij Voka Vaart,100
01B45481-0877-E911-80FE-001DD8B72B62,B9F5EA1B-189A-EC11-B400-0022488005A7,Voka op bezoek bij Libert Paints op dinsdag 5 juli,100
01B45481-0877-E911-80FE-001DD8B72B62,7EFDC813-4DBA-EC11-983F-6045BD8C5B6B,Lunchmeeting met Banque de Luxembourg - woensdag 15 juni,100
01B45481-0877-E911-80FE-001DD8B72B62,3C6E8BB5-6FBF-EA11-8111-001DD8B72B61,Lunchmeeting met Niko Demeester - 25 november 2020,100
01B45481-0877-E911-80FE-001DD8B72B62,9E035210-EE90-E911-80FF-001DD8B72B62,Lunchmeeting scale-ups vs Sofie Bracke,100
01B45481-0877-E911-80FE-001DD8B72B62,037E70BA-6D2F-E911-80FB-001DD8B72B62,Lunchmeeting scale-ups vs Sofie Bracke,100
