User,Campaign,crm_Campagne_Naam_in_email,Likelihood
00228AA5-78F0-E311-956D-005056B06EB4,0A42D2C9-724B-EC11-8C62-000D3ABFCB4B,Lunchmeeting met Frank Beckx op 23 maart 2022,100.0
00228AA5-78F0-E311-956D-005056B06EB4,63F86D01-6E5E-ED11-9561-6045BD895B5A,Voka te gast bij Bexco in Hamme,100.0
00228AA5-78F0-E311-956D-005056B06EB4,B422A5B1-BBC7-ED11-B597-6045BD895BFB,Quick Refresh - webinar: Opleidingsplan met Anneleen Verstraeten (SD Worx),100.0
00228AA5-78F0-E311-956D-005056B06EB4,192C3C68-F992-EC11-B400-000D3A2B1748,Welkom@Voka - 14 juni 2022,100.0
00228AA5-78F0-E311-956D-005056B06EB4,DC5C845A-C2F1-EA11-8115-001DD8B72B62,OV-NW-Voka Update-2020-AIO-Raad van Advies: Zin en onzin,100.0
00228AA5-78F0-E311-956D-005056B06EB4,08C08CAD-E3EB-E811-80F8-001DD8B72B61,Big Refresh - De grote voorjaarsupdate,100.0
00228AA5-78F0-E311-956D-005056B06EB4,0E89DA7D-BBAA-EC11-983F-002248848076,Lunchmeeting met Frank Beckx op 31 augustus 2022,100.0
00228AA5-78F0-E311-956D-005056B06EB4,EDD5A874-F09D-EB11-811E-001DD8B72B62,Welkom@Voka - dinsdag 8 juni,100.0
00228AA5-78F0-E311-956D-005056B06EB4,0F57FD1E-6FA6-EA11-8112-001DD8B72B62,Oost meets West - Netwekkers Helemaal Digitaal - 1 juli 2020,100.0
00228AA5-78F0-E311-956D-005056B06EB4,35B96C5A-0F1B-E911-80FA-001DD8B72B61,OV-NW-Netwekkers Obumex,100.0
00228AA5-78F0-E311-956D-005056B06EB4,317CD023-2B1E-ED11-B83D-000D3AAD783A,Voka's eindejaarsreceptie in Oost-Vlaanderen,100.0
00228AA5-78F0-E311-956D-005056B06EB4,4F104A3B-E1B8-ED11-83FF-6045BD8956C9,Voka Politica in Dendermonde,100.0
00228AA5-78F0-E311-956D-005056B06EB4,CFF2BA02-E99C-EB11-811E-001DD8B72B62,Voka Quick Refresh van 31 mei tot en met 4 juni,100.0
00228AA5-78F0-E311-956D-005056B06EB4,A02595A3-8A5F-ED11-9561-6045BD8952CE,OV-NW- Quick Refresh - webinar: Arbeidsdeal met Anneleen Verstraeten - SD Worx,100.0
